,frame
0,1
1,12
2,15
3,16
4,17
5,18
6,20
7,21
8,22
9,23
10,24
11,25
12,26
13,27
14,28
15,30
16,32
17,33
18,35
19,36
20,37
21,38
22,40
23,41
24,42
25,44
26,45
27,46
28,47
29,48
30,49
31,50
32,52
33,53
34,54
35,55
36,56
37,57
38,58
39,59
40,60
41,61
42,62
43,63
44,64
45,65
46,66
47,67
48,68
49,69
50,70
51,71
52,72
53,73
54,74
55,76
56,77
57,78
58,79
59,80
60,81
61,82
62,83
63,84
64,85
65,86
66,87
67,88
68,89
69,90
70,91
71,92
72,93
73,94
74,95
75,96
76,97
77,98
78,99
79,101
80,102
81,103
82,104
83,105
84,106
85,107
86,108
87,109
88,110
89,111
90,112
91,113
92,114
93,115
94,116
95,117
96,118
97,119
98,120
99,121
100,122
101,123
102,125
103,126
104,127
105,128
106,129
107,130
108,131
109,132
110,133
111,134
112,135
113,136
114,137
115,138
116,139
117,140
118,141
119,142
120,143
121,144
122,145
123,146
124,147
125,149
126,150
127,151
128,152
129,153
130,154
131,155
132,156
133,157
134,158
135,159
136,160
137,161
138,162
139,163
140,164
141,165
142,166
143,167
144,168
145,169
146,170
147,171
148,172
149,174
150,175
151,176
152,177
153,178
154,179
155,180
156,181
157,182
158,183
159,184
160,185
161,186
162,187
163,188
164,189
165,190
166,191
167,192
168,193
169,194
170,195
171,196
172,198
173,199
174,200
175,201
176,202
177,203
178,204
179,205
180,206
181,207
182,208
183,209
184,210
185,211
186,212
187,213
188,214
189,215
190,216
191,217
192,218
193,219
194,220
195,221
196,223
197,224
198,225
199,226
200,227
201,228
202,229
203,230
204,231
205,232
206,233
207,234
208,235
209,236
210,237
211,238
212,239
213,240
214,241
215,242
216,243
217,244
218,245
219,247
220,248
221,249
222,250
223,251
224,252
225,253
226,255
227,281
228,284
229,287
230,290
231,293
232,297
233,299
234,302
235,304
236,307
237,311
238,315
239,320
240,324
241,327
242,329
243,331
244,333
245,335
246,337
247,340
248,343
249,420
250,422
251,424
252,426
253,428
254,430
255,432
256,434
257,436
258,438
259,440
260,443
261,445
262,446
263,448
264,479
265,480
266,481
267,482
268,483
269,484
270,485
271,486
272,487
273,488
274,489
275,491
276,492
277,493
278,494
279,495
280,496
281,497
282,498
283,499
284,500
285,501
286,502
287,503
288,504
289,505
290,506
291,507
292,508
293,509
294,510
295,511
296,512
297,513
298,514
299,516
300,517
301,518
302,519
303,520
304,521
305,522
306,523
307,524
308,525
309,526
310,527
311,528
312,529
313,530
314,531
315,532
316,533
317,534
318,535
319,536
320,537
321,538
322,540
323,541
324,542
325,543
326,544
327,545
328,546
329,547
330,548
331,549
332,550
333,551
334,552
335,553
336,554
337,555
338,556
339,557
340,558
341,559
342,560
343,561
344,562
345,564
346,565
347,566
348,567
349,568
350,569
351,570
352,571
353,572
354,573
355,574
356,575
357,576
358,577
359,578
360,579
361,580
362,581
363,582
364,583
365,584
366,585
367,586
368,587
369,589
370,590
371,591
372,592
373,593
374,594
375,595
376,596
377,597
378,598
379,599
380,600
381,601
382,602
383,603
384,604
385,605
386,606
387,607
388,608
389,609
390,610
391,611
392,613
393,614
394,615
395,616
396,617
397,618
398,619
399,620
400,621
401,622
402,623
403,624
404,625
405,626
406,627
407,628
408,629
409,630
410,631
411,632
412,633
413,634
414,635
415,636
416,638
417,639
418,640
419,641
420,642
421,643
422,644
423,645
424,646
425,647
426,648
427,649
428,650
429,651
430,652
431,653
432,654
433,655
434,656
435,657
436,658
437,659
438,660
439,662
440,663
441,664
442,665
443,666
444,667
445,668
446,669
447,670
448,671
449,672
450,673
451,674
452,675
453,676
454,677
455,678
456,679
457,680
458,681
459,682
460,683
461,684
462,685
463,687
464,688
465,689
466,690
467,691
468,692
469,693
470,694
471,695
472,696
473,697
474,698
475,699
476,700
477,701
478,702
479,703
480,704
481,705
482,706
483,707
484,708
485,709
486,711
487,712
488,713
489,714
490,715
491,716
492,717
493,718
494,719
495,720
496,721
497,722
498,723
499,724
500,725
501,726
502,727
503,728
504,729
505,730
506,731
507,732
508,733
509,735
510,736
511,737
512,738
513,739
514,740
515,741
516,742
517,743
518,744
519,745
520,746
521,747
522,748
523,749
524,750
525,751
526,752
527,753
528,754
529,755
530,756
531,757
532,758
533,760
534,761
535,762
536,763
537,764
538,765
539,766
540,767
541,768
542,769
543,770
544,771
545,772
546,773
547,774
548,775
549,776
550,777
551,778
552,779
553,780
554,781
555,782
556,784
557,785
558,786
559,787
560,788
561,789
562,790
563,791
564,792
565,793
566,794
567,795
568,796
569,797
570,798
571,799
572,800
573,801
574,802
575,803
576,804
577,805
578,806
579,807
580,809
581,810
582,811
583,812
584,813
585,814
586,815
587,816
588,817
589,818
590,819
591,820
592,821
593,822
594,823
595,824
596,825
597,826
598,827
599,828
600,829
601,830
602,831
603,833
604,834
605,835
606,836
607,837
608,838
609,839
610,840
611,841
612,842
613,843
614,844
615,845
616,846
617,847
618,848
